2025-08-06T22:18:18.184+0800	INFO	runtime/asm_amd64.s:1700	zap + lumberjack 日志系统初始化完成
2025-08-06T22:18:18.230+0800	INFO	runtime/asm_amd64.s:1700	启动后端主动轮询 Syncthing 事件并同步数据库
2025-08-06T22:18:18.277+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 0}
2025-08-06T22:18:18.277+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:18:18.281+0800	ERROR	runtime/asm_amd64.s:1700	请求 Syncthing 事件失败	{"error": "Get \"http://127.0.0.1:8384/rest/events?since=0&timeout=30\": dial tcp 127.0.0.1:8384: connectex: No connection could be made because the target machine actively refused it.", "url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:18:23.284+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 0}
2025-08-06T22:18:23.284+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:18:23.284+0800	ERROR	runtime/asm_amd64.s:1700	请求 Syncthing 事件失败	{"error": "Get \"http://127.0.0.1:8384/rest/events?since=0&timeout=30\": dial tcp 127.0.0.1:8384: connectex: No connection could be made because the target machine actively refused it.", "url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:18:28.284+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 0}
2025-08-06T22:18:28.284+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:18:28.284+0800	ERROR	runtime/asm_amd64.s:1700	请求 Syncthing 事件失败	{"error": "Get \"http://127.0.0.1:8384/rest/events?since=0&timeout=30\": dial tcp 127.0.0.1:8384: connectex: No connection could be made because the target machine actively refused it.", "url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:18:33.285+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 0}
2025-08-06T22:18:33.285+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:18:33.285+0800	ERROR	runtime/asm_amd64.s:1700	请求 Syncthing 事件失败	{"error": "Get \"http://127.0.0.1:8384/rest/events?since=0&timeout=30\": dial tcp 127.0.0.1:8384: connectex: No connection could be made because the target machine actively refused it.", "url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:18:38.285+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 0}
2025-08-06T22:18:38.285+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:18:38.285+0800	ERROR	runtime/asm_amd64.s:1700	请求 Syncthing 事件失败	{"error": "Get \"http://127.0.0.1:8384/rest/events?since=0&timeout=30\": dial tcp 127.0.0.1:8384: connectex: No connection could be made because the target machine actively refused it.", "url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:18:43.285+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 0}
2025-08-06T22:18:43.285+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:18:43.285+0800	ERROR	runtime/asm_amd64.s:1700	请求 Syncthing 事件失败	{"error": "Get \"http://127.0.0.1:8384/rest/events?since=0&timeout=30\": dial tcp 127.0.0.1:8384: connectex: No connection could be made because the target machine actively refused it.", "url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:18:48.288+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 0}
2025-08-06T22:18:48.288+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
